,0
N20.0,['Calculus of kidney']
G43.909,"['Migraine, unspecified, not intractable, without status migrainosus']"
278.00,"['Obesity, unspecified']"
R94.31,['Abnormal electrocardiogram [ECG] [EKG]']
338.29,['Other chronic pain']
D50.9,"['Iron deficiency anemia, unspecified']"
R11.0,['Nausea']
Z99.2,['Dependence on renal dialysis']
268.9,['Unspecified vitamin D deficiency']
M25.511,['Pain in right shoulder']
285.9,"['Anemia, unspecified']"
R00.0,"['Tachycardia, unspecified']"
R06.00,"['Dyspnea, unspecified']"
305.1,['Tobacco use disorder']
I73.9,"['Peripheral vascular disease, unspecified']"
G47.30,"['Sleep apnea, unspecified']"
R13.10,"['Dysphagia, unspecified']"
R55,['Syncope and collapse']
V76.12,['Other screening mammogram']
M54.16,"['Radiculopathy, lumbar region']"
599.0,"['Urinary tract infection, site not specified']"
789.00,"['Abdominal pain, unspecified site']"
R00.2,['Palpitations']
272.0,['Pure hypercholesterolemia']
719.41,"['Pain in joint, shoulder region']"
V58.61,['Long-term (current) use of anticoagulants']
414.00,"['Coronary atherosclerosis of unspecified type of vessel, native or graft']"
327.23,['Obstructive sleep apnea (adult)(pediatric)']
G62.9,"['Polyneuropathy, unspecified']"
786.05,['Shortness of breath']
Z12.11,['Encounter for screening for malignant neoplasm of colon']
N40.0,['Benign prostatic hyperplasia without lower urinary tract symptoms']
723.1,['Cervicalgia']
R60.0,['Localized edema']
E87.1,['Hypo-osmolality and hyponatremia']
M79.7,['Fibromyalgia']
M25.512,['Pain in left shoulder']
Z01.89,['Encounter for other specified special examinations']
R53.1,['Weakness']
R56.9,['Unspecified convulsions']
V42.0,['Kidney replaced by transplant']
M10.9,"['Gout, unspecified']"
I26.99,['Other pulmonary embolism without acute cor pulmonale']
Z09,['Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm']
R30.0,['Dysuria']
Z01.419,['Encounter for gynecological examination (general) (routine) without abnormal findings']
D69.6,"['Thrombocytopenia, unspecified']"
R10.13,['Epigastric pain']
A41.9,"['Sepsis, unspecified organism']"
M85.80,"['Other specified disorders of bone density and structure, unspecified site']"
272.2,['Mixed hyperlipidemia']
I63.9,"['Cerebral infarction, unspecified']"
Z86.73,"['Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits']"
Z00.129,['Encounter for routine child health examination without abnormal findings']
M25.551,['Pain in right hip']
R73.03,['Prediabetes']
U07.1,['COVID-19']
R52,"['Pain, unspecified']"
E86.0,['Dehydration']
K74.60,['Unspecified cirrhosis of liver']
D63.1,['Anemia in chronic kidney disease']
278.01,['Morbid obesity']
J32.9,"['Chronic sinusitis, unspecified']"
428.0,"['Congestive heart failure, unspecified']"
I50.22,['Chronic systolic (congestive) heart failure']
585.6,['End stage renal disease']
M06.9,"['Rheumatoid arthritis, unspecified']"
M79.89,['Other specified soft tissue disorders']
N18.4,"['Chronic kidney disease, stage 4 (severe)']"
R73.9,"['Hyperglycemia, unspecified']"
R09.02,['Hypoxemia']
F31.9,"['Bipolar disorder, unspecified']"
R21,['Rash and other nonspecific skin eruption']
Z86.718,['Personal history of other venous thrombosis and embolism']
I25.2,['Old myocardial infarction']
G40.909,"['Epilepsy, unspecified, not intractable, without status epilepticus']"
719.45,"['Pain in joint, pelvic region and thigh']"
E87.5,['Hyperkalemia']
465.9,['Acute upper respiratory infections of unspecified site']
M51.36,"['Other intervertebral disc degeneration, lumbar region']"
E87.2,['Acidosis']
Z90.49,['Acquired absence of other specified parts of digestive tract']
E53.8,['Deficiency of other specified B group vitamins']
496,"['Chronic airway obstruction, not elsewhere classified']"
J96.01,['Acute respiratory failure with hypoxia']
M25.552,['Pain in left hip']
Z72.0,['Tobacco use']
R10.2,['Pelvic and perineal pain']
790.29,['Other abnormal glucose']
M47.816,"['Spondylosis without myelopathy or radiculopathy, lumbar region']"
Z95.2,['Presence of prosthetic heart valve']
R35.0,['Frequency of micturition']
