,0
414.01,['Coronary atherosclerosis of native coronary artery']
Z71.89,['Other specified counseling']
R10.2,['Pelvic and perineal pain']
M79.89,['Other specified soft tissue disorders']
428.0,"['Congestive heart failure, unspecified']"
N18.4,"['Chronic kidney disease, stage 4 (severe)']"
R26.2,"['Difficulty in walking, not elsewhere classified']"
Z86.19,['Personal history of other infectious and parasitic diseases']
M10.9,"['Gout, unspecified']"
E53.8,['Deficiency of other specified B group vitamins']
R41.82,"['Altered mental status, unspecified']"
D72.829,"['Elevated white blood cell count, unspecified']"
J30.2,['Other seasonal allergic rhinitis']
J32.9,"['Chronic sinusitis, unspecified']"
G43.909,"['Migraine, unspecified, not intractable, without status migrainosus']"
K76.0,"['Fatty (change of) liver, not elsewhere classified']"
I25.2,['Old myocardial infarction']
B97.29,['Other coronavirus as the cause of diseases classified elsewhere']
